# Phys.Lett. B223 (1989) 485-489,,,
# x,Q2,F2,err
# 100 GeV beam energy,,,
0.75,49.5,0.01189,0.00044
0.75,57,0.01076,0.00046
0.75,65,0.01068,0.00052
0.75,75,0.01117,0.00058
0.75,86,0.00999,0.00058
0.75,99,0.00905,0.0006
0.75,115.5,0.00813,0.00061
0.75,137.5,0.00903,0.00068
# 280 GeV beam energy,,,
0.1,32.5,0.39629,0.00559
0.1,37.5,0.39408,0.0063
0.14,37.5,0.37285,0.00654
0.14,43,0.37083,0.00645
0.14,49.5,0.35668,0.00661
0.14,57,0.37001,0.00802
0.18,37.5,0.3463,0.00695
0.18,43,0.35894,0.00694
0.18,49.5,0.33701,0.00706
0.18,57,0.34082,0.00475
0.18,65.5,0.33512,0.00504
0.225,37.5,0.31199,0.00658
0.225,43,0.30882,0.00631
0.225,49.5,0.31671,0.00659
0.225,57,0.30994,0.00435
0.225,65.5,0.31282,0.0047
0.225,75,0.30247,0.00499
0.225,86,0.30229,0.00533
0.275,37.5,0.27396,0.00704
0.275,43,0.27856,0.00659
0.275,49.5,0.26652,0.00657
0.275,57,0.27485,0.00459
0.275,65.5,0.26066,0.00471
0.275,75,0.27476,0.00518
0.275,86,0.2596,0.00508
0.275,99,0.25794,0.0063
0.275,115.5,0.25851,0.00693
0.35,43,0.20759,0.00472
0.35,49.5,0.21481,0.0048
0.35,57,0.21242,0.00329
0.35,65.5,0.20092,0.00333
0.35,75,0.20936,0.0036
0.35,86,0.20583,0.00358
0.35,99,0.20313,0.00375
0.35,115.5,0.20358,0.00441
0.35,137.5,0.20044,0.00472
0.45,43,0.12927,0.00441
0.45,49.5,0.13776,0.00453
0.45,57,0.13211,0.00296
0.45,65.5,0.12867,0.00308
0.45,75,0.13325,0.00326
0.45,86,0.1266,0.00317
0.45,99,0.13142,0.00336
0.45,115.5,0.11975,0.00329
0.45,137.5,0.11797,0.00388
0.45,175,0.11841,0.00365
0.55,43,0.07503,0.00349
0.55,49.5,0.0768,0.00348
0.55,57,0.07392,0.00221
0.55,65.5,0.06995,0.00234
0.55,75,0.07265,0.00258
0.55,86,0.0675,0.00247
0.55,99,0.06949,0.00262
0.55,115.5,0.06775,0.00263
0.55,137.5,0.07042,0.00324
0.55,175,0.0599,0.00273
0.55,230,0.06091,0.00366
0.65,49.5,0.03371,0.00212
0.65,57,0.03359,0.00136
0.65,65.5,0.03077,0.00138
0.65,75,0.03236,0.00156
0.65,86,0.03091,0.0016
0.65,99,0.03182,0.00173
0.65,115.5,0.029,0.00167
0.65,137.5,0.0316,0.00221
0.65,175,0.02724,0.00189
0.65,230,0.02965,0.00248
0.75,57,0.01165,0.00077
0.75,65.5,0.01225,0.00087
0.75,75,0.01111,0.00091
0.75,86,0.00985,0.00088
0.75,99,0.0101,0.00098
0.75,115.5,0.00833,0.00093
0.75,137.5,0.00925,0.00106
0.75,175,0.00832,0.00098
0.75,230,0.00798,0.0013
