20,0.0013,1.061,0.02,0.055,0.33
20,0.002,0.945,0.018,0.042,0.32
20,0.0032,0.861,0.017,0.038,0.31
20,0.005,0.761,0.017,0.028,0.3
20,0.008,0.693,0.016,0.035,0.28
20,0.013,0.567,0.015,0.024,0.26
20,0.02,0.487,0.015,0.025,0.22
25,0.0005,1.546,0.047,0.058,0.4
25,0.0008,1.33,0.028,0.051,0.39
25,0.0013,1.151,0.024,0.047,0.38
25,0.002,1.019,0.022,0.035,0.37
25,0.0032,0.872,0.02,0.034,0.35
25,0.005,0.768,0.019,0.034,0.33
25,0.008,0.683,0.018,0.031,0.3
25,0.013,0.585,0.017,0.028,0.26
25,0.02,0.548,0.017,0.037,0.22
35,0.0008,1.442,0.038,0.051,0.36
35,0.0013,1.308,0.032,0.052,0.35
35,0.002,1.116,0.027,0.052,0.33
35,0.0032,0.928,0.024,0.038,0.32
35,0.005,0.832,0.023,0.04,0.3
35,0.008,0.739,0.022,0.035,0.27
35,0.013,0.6,0.019,0.025,0.24
35,0.02,0.508,0.019,0.019,0.2
35,0.032,0.452,0.019,0.026,0.16
45,0.0013,1.305,0.038,0.048,0.32
45,0.002,1.225,0.034,0.049,0.31
45,0.0032,1.105,0.032,0.058,0.3
45,0.005,0.912,0.028,0.033,0.28
45,0.008,0.743,0.025,0.029,0.26
45,0.013,0.686,0.024,0.031,0.22
45,0.02,0.599,0.022,0.027,0.19
45,0.032,0.505,0.021,0.023,0.15
45,0.05,0.411,0.022,0.028,0.12
60,0.002,1.213,0.042,0.048,0.29
60,0.0032,1.079,0.037,0.045,0.28
60,0.005,0.937,0.033,0.043,0.26
60,0.008,0.83,0.031,0.046,0.24
60,0.013,0.701,0.028,0.029,0.21
60,0.02,0.639,0.027,0.025,0.18
60,0.032,0.586,0.026,0.028,0.14
60,0.05,0.492,0.025,0.023,0.11
60,0.08,0.432,0.027,0.023,0.08
90,0.0032,1.103,0.052,0.048,0.26
90,0.005,0.997,0.045,0.047,0.24
90,0.008,0.908,0.041,0.056,0.22
90,0.013,0.726,0.035,0.04,0.19
90,0.02,0.65,0.033,0.031,0.17
90,0.032,0.587,0.03,0.034,0.13
90,0.05,0.481,0.027,0.019,0.1
120,0.005,1.018,0.094,0.076,0.23
120,0.008,0.914,0.068,0.056,0.21
120,0.013,0.755,0.063,0.111,0.18
120,0.02,0.57,0.049,0.057,0.16
120,0.032,0.582,0.048,0.06,0.13
120,0.05,0.402,0.035,0.045,0.1
120,0.08,0.33,0.032,0.034,0.07
150,0.0032,1.292,0.069,0.067,0.23
150,0.005,1.067,0.065,0.057,0.22
150,0.008,0.928,0.061,0.06,0.2
150,0.013,0.716,0.064,0.079,0.17
150,0.02,0.566,0.069,0.114,0.15
150,0.032,0.598,0.085,0.103,0.12
150,0.05,0.424,0.071,0.065,0.09
200,0.005,1.065,0.059,0.053,0.21
